Date,CryptoCurrency,Close,Open,Change %
10/29/2025,XRP,2.6474,2.6037,-0.02
10/28/2025,XRP,2.6039,2.634,0.01
10/27/2025,XRP,2.6341,2.6461,0.00
10/26/2025,XRP,2.6462,2.5961,-0.02
10/25/2025,XRP,2.5961,2.5106,-0.03
10/24/2025,XRP,2.5107,2.3946,-0.05
10/23/2025,XRP,2.3945,2.3647,-0.01
10/22/2025,XRP,2.3648,2.4221,0.02
10/21/2025,XRP,2.4228,2.4949,0.03
10/20/2025,XRP,2.495,2.3907,-0.04
10/19/2025,XRP,2.3909,2.3596,-0.01
10/18/2025,XRP,2.3597,2.2965,-0.03
10/17/2025,XRP,2.294,2.3237,0.01
10/16/2025,XRP,2.3278,2.4107,0.03
10/15/2025,XRP,2.4112,2.5033,0.04
10/14/2025,XRP,2.5038,2.6047,0.04
10/13/2025,XRP,2.6054,2.5233,-0.03
10/12/2025,XRP,2.5289,2.3826,-0.06
10/11/2025,XRP,2.3824,2.3642,-0.01
10/10/2025,XRP,2.369,2.8029,0.15
10/09/2025,XRP,2.8024,2.8794,0.03
10/08/2025,XRP,2.8794,2.8546,-0.01
10/07/2025,XRP,2.8524,2.9889,0.05
10/06/2025,XRP,2.9893,2.968,-0.01
10/05/2025,XRP,2.9696,2.969,0.00
10/04/2025,XRP,2.9689,3.0395,0.02
10/03/2025,XRP,3.0392,3.0391,0.00
10/02/2025,XRP,3.039,2.9475,-0.03
10/01/2025,XRP,2.9474,2.8467,-0.04
09/30/2025,XRP,2.8467,2.8804,0.01
09/29/2025,XRP,2.8805,2.8675,0.00
09/28/2025,XRP,2.8674,2.8047,-0.02
09/27/2025,XRP,2.8046,2.7837,-0.01
09/26/2025,XRP,2.7836,2.7435,-0.01
09/25/2025,XRP,2.7439,2.9257,0.06
09/24/2025,XRP,2.9257,2.825,-0.04
09/23/2025,XRP,2.8252,2.8528,0.01
09/22/2025,XRP,2.8528,2.9705,0.04
09/21/2025,XRP,2.9705,2.9754,0.00
09/20/2025,XRP,2.976,2.9906,0.00
09/19/2025,XRP,2.9906,3.0738,0.03
09/18/2025,XRP,3.0738,3.0838,0.00
09/17/2025,XRP,3.0837,3.0369,-0.02
09/16/2025,XRP,3.0375,2.9969,-0.01
09/15/2025,XRP,2.9969,3.0283,0.01
09/14/2025,XRP,3.0283,3.1197,0.03
09/13/2025,XRP,3.1199,3.1056,0.00
09/12/2025,XRP,3.1056,3.0399,-0.02
09/11/2025,XRP,3.0399,2.9833,-0.02
09/10/2025,XRP,2.9833,2.947,-0.01
09/09/2025,XRP,2.947,2.9703,0.01
09/08/2025,XRP,2.9707,2.877,-0.03
09/07/2025,XRP,2.8771,2.8096,-0.02
09/06/2025,XRP,2.8096,2.8146,0.00
09/05/2025,XRP,2.8144,2.7946,-0.01
09/04/2025,XRP,2.7945,2.8445,0.02
09/03/2025,XRP,2.8445,2.8618,0.01
09/02/2025,XRP,2.8618,2.7572,-0.04
09/01/2025,XRP,2.7563,2.7757,0.01
08/31/2025,XRP,2.7756,2.8182,0.02
08/30/2025,XRP,2.8182,2.8192,0.00
08/29/2025,XRP,2.8191,2.9668,0.05
