Date,CryptoCurrency,Close,Open,Change
10/29/2025,XRP,2.6474,2.6037,-0.0437
10/28/2025,XRP,2.6039,2.634,0.0301
10/27/2025,XRP,2.6341,2.6461,0.012
10/26/2025,XRP,2.6462,2.5961,-0.0501
10/25/2025,XRP,2.5961,2.5106,-0.0855
10/24/2025,XRP,2.5107,2.3946,-0.1161
10/23/2025,XRP,2.3945,2.3647,-0.0298
10/22/2025,XRP,2.3648,2.4221,0.0573
10/21/2025,XRP,2.4228,2.4949,0.0721
10/20/2025,XRP,2.495,2.3907,-0.1043
10/19/2025,XRP,2.3909,2.3596,-0.0313
10/18/2025,XRP,2.3597,2.2965,-0.0632
10/17/2025,XRP,2.294,2.3237,0.0297
10/16/2025,XRP,2.3278,2.4107,0.0829
10/15/2025,XRP,2.4112,2.5033,0.0921
10/14/2025,XRP,2.5038,2.6047,0.1009
10/13/2025,XRP,2.6054,2.5233,-0.0821
10/12/2025,XRP,2.5289,2.3826,-0.1463
10/11/2025,XRP,2.3824,2.3642,-0.0182
10/10/2025,XRP,2.369,2.8029,0.4339
10/09/2025,XRP,2.8024,2.8794,0.077
10/08/2025,XRP,2.8794,2.8546,-0.0248
10/07/2025,XRP,2.8524,2.9889,0.1365
10/06/2025,XRP,2.9893,2.968,-0.0213
10/05/2025,XRP,2.9696,2.969,-0.0006
10/04/2025,XRP,2.9689,3.0395,0.0706
10/03/2025,XRP,3.0392,3.0391,-0.0001
10/02/2025,XRP,3.039,2.9475,-0.0915
10/01/2025,XRP,2.9474,2.8467,-0.1007
09/30/2025,XRP,2.8467,2.8804,0.0337
09/29/2025,XRP,2.8805,2.8675,-0.013
09/28/2025,XRP,2.8674,2.8047,-0.0627
09/27/2025,XRP,2.8046,2.7837,-0.0209
09/26/2025,XRP,2.7836,2.7435,-0.0401
09/25/2025,XRP,2.7439,2.9257,0.1818
09/24/2025,XRP,2.9257,2.825,-0.1007
09/23/2025,XRP,2.8252,2.8528,0.0276
09/22/2025,XRP,2.8528,2.9705,0.1177
09/21/2025,XRP,2.9705,2.9754,0.0049
09/20/2025,XRP,2.976,2.9906,0.0146
09/19/2025,XRP,2.9906,3.0738,0.0832
09/18/2025,XRP,3.0738,3.0838,0.01
09/17/2025,XRP,3.0837,3.0369,-0.0468
09/16/2025,XRP,3.0375,2.9969,-0.0406
09/15/2025,XRP,2.9969,3.0283,0.0314
09/14/2025,XRP,3.0283,3.1197,0.0914
09/13/2025,XRP,3.1199,3.1056,-0.0143
09/12/2025,XRP,3.1056,3.0399,-0.0657
09/11/2025,XRP,3.0399,2.9833,-0.0566
09/10/2025,XRP,2.9833,2.947,-0.0363
09/09/2025,XRP,2.947,2.9703,0.0233
09/08/2025,XRP,2.9707,2.877,-0.0937
09/07/2025,XRP,2.8771,2.8096,-0.0675
09/06/2025,XRP,2.8096,2.8146,0.005
09/05/2025,XRP,2.8144,2.7946,-0.0198
09/04/2025,XRP,2.7945,2.8445,0.05
09/03/2025,XRP,2.8445,2.8618,0.0173
09/02/2025,XRP,2.8618,2.7572,-0.1046
09/01/2025,XRP,2.7563,2.7757,0.0194
08/31/2025,XRP,2.7756,2.8182,0.0426
08/30/2025,XRP,2.8182,2.8192,0.001
08/29/2025,XRP,2.8191,2.9668,0.1477
10/29/2025,Ethereum,"3,989.45","3,979.29",-10.16
10/28/2025,Ethereum,"3,979.45","4,117.85",138.40
10/27/2025,Ethereum,"4,120.90","4,158.39",37.49
10/26/2025,Ethereum,"4,158.33","3,953.68",-204.65
10/25/2025,Ethereum,"3,953.92","3,934.85",-19.07
10/24/2025,Ethereum,"3,934.75","3,856.73",-78.02
10/23/2025,Ethereum,"3,856.73","3,805.95",-50.78
10/22/2025,Ethereum,"3,805.16","3,873.13",67.97
10/21/2025,Ethereum,"3,874.27","3,977.70",103.43
10/20/2025,Ethereum,"3,979.43","3,982.68",3.25
10/19/2025,Ethereum,"3,982.53","3,889.19",-93.34
10/18/2025,Ethereum,"3,888.87","3,835.39",-53.48
10/17/2025,Ethereum,"3,831.60","3,894.48",62.88
10/16/2025,Ethereum,"3,894.48","3,985.52",91.04
10/15/2025,Ethereum,"3,985.52","4,122.53",137.01
10/14/2025,Ethereum,"4,122.38","4,240.91",118.53
10/13/2025,Ethereum,"4,240.91","4,151.91",-89.00
10/12/2025,Ethereum,"4,153.64","3,747.58",-406.06
10/11/2025,Ethereum,"3,745.85","3,828.84",82.99
10/10/2025,Ethereum,"3,829.58","4,367.53",537.95
10/09/2025,Ethereum,"4,367.94","4,525.24",157.30
10/08/2025,Ethereum,"4,525.69","4,447.77",-77.92
10/07/2025,Ethereum,"4,447.77","4,684.04",236.27
10/06/2025,Ethereum,"4,686.20","4,512.54",-173.66
10/05/2025,Ethereum,"4,514.27","4,487.10",-27.17
10/04/2025,Ethereum,"4,487.37","4,512.45",25.08
10/03/2025,Ethereum,"4,511.06","4,484.32",-26.74
10/02/2025,Ethereum,"4,484.19","4,352.41",-131.78
10/01/2025,Ethereum,"4,343.80","4,145.18",-198.62
09/30/2025,Ethereum,"4,144.60","4,215.09",70.49
09/29/2025,Ethereum,"4,215.36","4,142.25",-73.11
09/28/2025,Ethereum,"4,143.72","4,018.54",-125.18
09/27/2025,Ethereum,"4,017.89","4,032.25",14.36
09/26/2025,Ethereum,"4,032.30","3,874.18",-158.12
09/25/2025,Ethereum,"3,872.53","4,152.87",280.34
09/24/2025,Ethereum,"4,153.21","4,164.35",11.14
09/23/2025,Ethereum,"4,164.63","4,200.63",36.00
09/22/2025,Ethereum,"4,199.05","4,443.73",244.68
09/21/2025,Ethereum,"4,444.51","4,480.39",35.88
09/20/2025,Ethereum,"4,480.38","4,468.66",-11.72
09/19/2025,Ethereum,"4,468.66","4,593.28",124.62
09/18/2025,Ethereum,"4,587.65","4,590.56",2.91
09/17/2025,Ethereum,"4,590.56","4,501.21",-89.35
09/16/2025,Ethereum,"4,501.21","4,523.56",22.35
09/15/2025,Ethereum,"4,523.56","4,604.95",81.39
09/14/2025,Ethereum,"4,604.95","4,667.07",62.12
09/13/2025,Ethereum,"4,667.07","4,711.99",44.92
09/12/2025,Ethereum,"4,711.99","4,458.79",-253.20
09/11/2025,Ethereum,"4,458.79","4,348.71",-110.08
09/10/2025,Ethereum,"4,348.70","4,309.63",-39.07
09/09/2025,Ethereum,"4,309.63","4,308.52",-1.11
09/08/2025,Ethereum,"4,306.59","4,306.47",-0.12
09/07/2025,Ethereum,"4,306.25","4,275.92",-30.33
09/06/2025,Ethereum,"4,272.82","4,306.96",34.14
09/05/2025,Ethereum,"4,306.96","4,304.72",-2.24
09/04/2025,Ethereum,"4,297.66","4,451.42",153.76
09/03/2025,Ethereum,"4,450.68","4,323.76",-126.92
09/02/2025,Ethereum,"4,325.19","4,314.51",-10.68
09/01/2025,Ethereum,"4,314.22","4,392.75",78.53
