TotalSteps,SedentaryMinutes,VeryActiveMinutes,Calories
11004,804,33,1819
17609,588,89,2154
12736,605,56,1944
13231,1080,39,1932
12041,763,28,1886
10970,1174,30,1820
12256,820,33,1889
12262,866,47,1868
11248,636,40,1843
10016,655,15,1850
14557,757,43,2030
14844,736,36,2083
11974,1173,27,1861
10198,1208,17,1755
12521,1160,46,1895
12432,738,32,1883
10057,737,44,1755
10990,855,26,1811
224,32,0,50
1810,1319,0,1373
815,1393,0,1264
1985,1328,0,1350
1905,1345,0,1342
1552,1374,0,1300
1675,1356,0,1313
4506,1285,7,1498
9218,1219,0,1541
1556,1352,0,1327
2910,1283,0,1452
18464,1170,0,1574
1335,1366,0,1308
1004,1385,0,1276
1111,1386,0,1278
6344,1297,0,1409
3572,1318,0,1370
3910,1240,7,1555
10000,1268,0,1469
6627,604,0,706
4636,838,0,3323
20237,918,34,4029
12912,1082,59,3436
2819,1345,4,2444
9921,1181,5,3098
8046,1244,18,2925
11166,1149,3,3202
7842,1229,7,2928
13840,1149,18,3290
1329,207,0,489
6847,1171,9,1969
5367,1177,0,1889
2841,1114,0,1636
0,669,0,1347
0,1440,0,1347
7,1439,0,1349
6344,1150,0,1965
5316,1219,0,1824
4979,620,0,1807
6556,810,0,1971
5430,1189,0,1888
0,426,0,399
4317,854,0,2590
5662,858,0,2783
3198,1183,0,2449
2352,829,0,2380
2234,912,0,2344
1259,938,0,2202
768,1397,0,2130
519,1406,0,2088
2523,1250,0,2443
2105,805,0,2442
1209,842,0,2255
24,161,0,942
13603,1139,72,2645
5477,1203,0,2040
11144,1114,25,2395
15313,1126,62,2581
10805,1069,36,2735
15392,1093,47,2733
18247,1054,72,3021
13023,1092,40,2577
16267,1078,44,2811
10005,1077,1,2458
10106,1111,41,2568
6717,551,41,1140
2605,729,0,1407
1229,795,0,1237
2308,720,0,1330
6679,644,0,1583
5645,621,0,1538
3180,738,0,1421
2767,673,0,1392
3762,719,0,1425
3098,700,0,1413
5142,654,0,1515
3279,694,0,1405
1019,223,0,600
0,1440,0,1324
0,1440,0,1324
0,1440,0,1324
0,1440,0,1324
4931,1265,0,1708
6999,1120,0,1950
1846,1347,0,1508
3417,1287,0,1625
4863,1220,1,1772
2277,1337,0,1530
11230,1038,10,2206
2098,617,0,790
10272,700,2,2041
10533,615,21,2187
6760,613,0,1929
8328,804,0,1935
15459,583,51,2438
7485,491,0,2035
10254,638,21,2099
10114,696,18,2096
11107,759,14,2058
10320,1002,15,2338
10209,711,2,2104
16081,970,16,2488
10078,463,12,2164
10001,788,5,2009
0,425,0,399
890,1399,0,1335
2214,1243,0,1559
7640,1107,3,1845
9713,1055,6,2046
8432,1066,0,1953
7350,1058,0,1910
9353,1055,5,2035
7157,1060,0,1944
14103,1098,46,2257
5290,1180,1,1724
7497,882,0,1741
0,1440,0,0
0,1440,0,1920
